example_id                                                    | status  | run_time        |
------------------------------------------------------------- | ------- | --------------- |
./spec/blueprints/rule_index_blueprint_spec.rb[1:1:1]         | passed  | 0.83814 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:1:2]         | passed  | 0.88382 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:1:3]         | passed  | 0.90959 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:1:4]         | passed  | 0.76995 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:2:1:1]       | passed  | 0.85252 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:2:2:1]       | passed  | 2.2 seconds     |
./spec/blueprints/rule_index_blueprint_spec.rb[1:3:1:1]       | passed  | 0.83678 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:3:2:1]       | passed  | 0.86438 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:4:1:1]       | passed  | 0.74368 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:4:2:1]       | passed  | 0.89768 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:4:2:2]       | passed  | 0.79498 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:5:1]         | passed  | 1.08 seconds    |
./spec/blueprints/rule_index_blueprint_spec.rb[1:5:2]         | passed  | 0.89564 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:5:3]         | passed  | 0.95183 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:5:4]         | passed  | 0.83726 seconds |
./spec/blueprints/rule_index_blueprint_spec.rb[1:5:5]         | passed  | 0.9774 seconds  |
./spec/blueprints/rule_satisfaction_blueprint_spec.rb[1:1:1]  | passed  | 0.67598 seconds |
./spec/blueprints/rule_satisfaction_blueprint_spec.rb[1:1:2]  | passed  | 0.77976 seconds |
./spec/blueprints/rule_satisfaction_blueprint_spec.rb[1:1:3]  | passed  | 0.68557 seconds |
./spec/blueprints/rule_satisfaction_blueprint_spec.rb[1:1:4]  | passed  | 0.70306 seconds |
./spec/blueprints/rule_satisfaction_blueprint_spec.rb[1:2:1]  | passed  | 0.99542 seconds |
./spec/blueprints/rule_satisfaction_blueprint_spec.rb[1:2:2]  | passed  | 0.75245 seconds |
./spec/blueprints/rule_satisfaction_blueprint_spec.rb[1:3:1]  | passed  | 0.69377 seconds |
./spec/controllers/api/base_controller_spec.rb[1:1:1]         | passed  | 0.05877 seconds |
./spec/controllers/api/base_controller_spec.rb[1:1:2]         | passed  | 0.00496 seconds |
./spec/controllers/api/base_controller_spec.rb[1:2:1]         | passed  | 0.01064 seconds |
./spec/controllers/api/base_controller_spec.rb[1:3:1]         | passed  | 0.02975 seconds |
./spec/controllers/api/base_controller_spec.rb[1:4:1]         | passed  | 0.04797 seconds |
./spec/controllers/api/base_controller_spec.rb[1:4:2]         | passed  | 0.3532 seconds  |
./spec/controllers/api/base_controller_spec.rb[1:5:1]         | passed  | 0.00854 seconds |
./spec/factories_spec.rb[1:1:1]                               | passed  | 0.31541 seconds |
./spec/factories_spec.rb[1:1:2]                               | passed  | 0.86301 seconds |
./spec/factories_spec.rb[1:1:3:1]                             | passed  | 0.77469 seconds |
./spec/factories_spec.rb[1:2:1]                               | passed  | 0.33249 seconds |
./spec/factories_spec.rb[1:2:2]                               | passed  | 0.77269 seconds |
./spec/factories_spec.rb[1:3:1]                               | passed  | 0.0058 seconds  |
./spec/factories_spec.rb[1:3:2]                               | passed  | 0.02891 seconds |
./spec/factories_spec.rb[1:3:3:1]                             | passed  | 0.02551 seconds |
./spec/factories_spec.rb[1:3:4:1]                             | passed  | 0.02177 seconds |
./spec/factories_spec.rb[1:3:5:1]                             | passed  | 0.02174 seconds |
./spec/factories_spec.rb[1:3:6:1]                             | passed  | 0.79929 seconds |
./spec/factories_spec.rb[1:4:1]                               | passed  | 0.00265 seconds |
./spec/factories_spec.rb[1:4:2]                               | passed  | 0.01931 seconds |
./spec/factories_spec.rb[1:5:1]                               | passed  | 0.00233 seconds |
./spec/factories_spec.rb[1:5:2]                               | passed  | 0.01546 seconds |
./spec/factories_spec.rb[1:6:1]                               | passed  | 0.69298 seconds |
